Community,Ward,Resource Type,Year of Construction,Development Era,Architectural Style,Original Use,Provincial,Municipal,Is Demolished,Is Decommissioned
MAYLAND HEIGHTS,10,City Wide Historic Resource,1968,1957 to 1982 (Modern),Brutalist,Education,False,False,False,False
MAYLAND HEIGHTS,10,City Wide Historic Resource,1963,1957 to 1982 (Modern),Modern,Commerce,False,False,False,False
Scarboro,8,Community Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,True,False,False
ROSEDALE,7,City Wide Historic Resource,1914,1914 to 1918 (WWI),Craftsman,Residence,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
GLENBROOK,6,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
SCARBORO,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
LOWER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,True,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1896,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,False,False,False
SHAWNESSY,13,Community Historic Resource,1915,1914 to 1918 (WWI),Unknown,Food Supply,False,False,False,False
RAMSAY,9,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
SHAGANAPPI,8,City Wide Historic Resource,1914,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
SIGNAL HILL,6,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Food Supply,False,True,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1957,1957 to 1982 (Modern),Other,Health and Research,False,False,False,True
SUNNYSIDE,7,City Wide Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,False,False,False
BELTLINE,8,Community Historic Resource,1935,1930 to 1939 (Depression),Tudor Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1889,1885 to 1905 (Railway/Early Settlement),Classical Revival,Commerce,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Stripped Classical,Commerce,False,False,False,False
DOWNTOWN WEST END,8,City Wide Historic Resource,1917,1914 to 1918 (WWI),Tudor Revival,Defence,True,False,False,False
HILLHURST,7,City Wide Historic Resource,1954,1946 to 1956 (Oil Boom),Unknown,Transport,False,False,False,False
MIDNAPORE,14,Community Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Education,False,False,False,False
SOUTH CALGARY,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1914,1914 to 1918 (WWI),Arts & Crafts,Residence,False,False,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1914,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Georgian Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1954,1946 to 1956 (Oil Boom),International,Residence,False,False,False,False
MISSION,8,City Wide Historic Resource,1915,1914 to 1918 (WWI),Unknown,Transport,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1933,1930 to 1939 (Depression),Art Moderne/Streamlined Moderne,Industry,False,False,False,False
MOUNT PLEASANT,7,Community Historic Resource,1944,1940 to 1945 (WWII),Art Moderne/Streamlined Moderne,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Beaux-Arts,Commerce,True,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
SHAGANAPPI,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage/Builder’s Cottage,Residence,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Unknown,Defence,False,False,True,False
LOWER MOUNT ROYAL,8,C,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,True,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,True,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1966,1957 to 1982 (Modern),International,Commerce,False,False,False,False
BANKVIEW,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1903,1885 to 1905 (Railway/Early Settlement),Italianate,Commerce,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
FRANKLIN,10,City Wide Historic Resource,1979,1957 to 1982 (Modern),Brutalist,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,True,True,False,False
RAMSAY,9,Community Historic Resource,1915,1914 to 1918 (WWI),Edwardian Commercial,Mixed Use,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1907,1885 to 1905 (Railway/Early Settlement),Classical Revival,Education,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
BANKVIEW,8,City Wide Historic Resource,1898,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,True,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1940,1940 to 1945 (WWII),Unknown,Defence,False,False,False,False
KILLARNEY/GLENGARRY,8,City Wide Historic Resource,1977,1957 to 1982 (Modern),(Neo)Expressionist,Residence,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1904,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Gothic Revival,"Religion, Ritual and Funeral",False,True,False,False
MOUNT PLEASANT,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Education,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Commerce,True,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Residence,False,False,False,False
NOSE HILL PARK,4,City Wide Historic Resource,1912,"ca. 7,750 – 1,500 years ago (Middle Period)",Unknown,Archaeology,False,True,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1979,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
SPRINGBANK HILL,6,C,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Food Supply,False,False,True,False
INGLEWOOD,9,Community Historic Resource,1950,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Community,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Community,True,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Arts & Crafts,Defence,True,False,False,False
OGDEN,9,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1914,1914 to 1918 (WWI),Unknown,Food Supply,False,False,True,False
CLIFF BUNGALOW,8,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
UNIVERSITY OF CALGARY,7,City Wide Historic Resource,1985,1983 Onward,(Neo)Expressionist,Leisure,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1987,1983 Onward,Post Modern,Leisure,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1981,1957 to 1982 (Modern),Post-modern,Leisure,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1917,1914 to 1918 (WWI),Unknown,Transport,False,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
INGLEWOOD,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UNIVERSITY HEIGHTS,7,City Wide Historic Resource,1968,1957 to 1982 (Modern),(Neo)Expressionist,"Religion, Ritual and Funeral",False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,True,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1914,1914 to 1918 (WWI),Edwardian Classical,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1965,1957 to 1982 (Modern),Other,Commerce,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1932,1930 to 1939 (Depression),Georgian Revival,Residence,False,False,True,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Unknown,Defence,True,False,False,False
TUXEDO PARK,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,True,False,False
PARKHILL,11,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Education,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
PATTERSON,6,City Wide Historic Resource,1912,"ca. 1,500 – 200 years ago (Late Period)",Unknown,Archaeology,False,False,False,False
MOUNT PLEASANT,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Arts & Crafts,Residence,False,False,False,False
MISSION,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
SCARBORO,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1952,1946 to 1956 (Oil Boom),Other,Defence,True,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,True,False
INGLEWOOD,9,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1956,1946 to 1956 (Oil Boom),International,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1959,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,True,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1968,1957 to 1982 (Modern),International,Commerce,False,False,True,False
BOWNESS,1,Community Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Dutch Colonial Revival,Residence,False,False,False,False
WEST HILLHURST,7,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Prairie,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1903,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Commerce,True,True,False,False
HILLHURST,7,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Art Deco,Transport,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1950,1946 to 1956 (Oil Boom),Unknown,Industry,False,False,True,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
SPRINGBANK HILL,6,City Wide Historic Resource,1896,1885 to 1905 (Railway/Early Settlement),Log,Food Supply,False,False,True,False
RAMSAY,9,C,1902,1885 to 1905 (Railway/Early Settlement),Unknown,Commerce,False,False,True,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Spanish Colonial Revival,Residence,False,True,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Commerce,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
SPRUCE CLIFF,8,City Wide Historic Resource,1895,1885 to 1905 (Railway/Early Settlement),Unknown,Transport,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
HILLHURST,7,City Wide Historic Resource,1930,1930 to 1939 (Depression),Collegiate Gothic,Education,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Mixed Use,False,False,False,False
RICHMOND,8,Community Historic Resource,1953,1946 to 1956 (Oil Boom),Minimal Traditional,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Residence,False,False,True,False
RAMSAY,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Arts & Crafts,Defence,True,False,False,False
RANCHLANDS,2,City Wide Historic Resource,1976,1957 to 1982 (Modern),Unknown,Leisure,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1914,1914 to 1918 (WWI),Other,Leisure,False,False,False,False
MISSION,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1940,1940 to 1945 (WWII),Unknown,Defence,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Unknown,Defence,False,False,True,False
MANCHESTER INDUSTRIAL,9,City Wide Historic Resource,1914,1914 to 1918 (WWI),Unknown,Leisure,True,True,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
ELBOW PARK,8,Community Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,True,False,False
BELTLINE,8,B,1902,1885 to 1905 (Railway/Early Settlement),Unknown,Residence,False,False,True,False
PANORAMA HILLS,3,City Wide Historic Resource,1976,1957 to 1982 (Modern),Unknown,"Religion, Ritual and Funeral",True,False,False,False
SETON,12,City Wide Historic Resource,1887,1885 to 1905 (Railway/Early Settlement),Foursquare,Residence,False,False,False,False
SOUTH CALGARY,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,True,False,False
RIDEAU PARK,8,City Wide Historic Resource,1930,1930 to 1939 (Depression),Collegiate Gothic,Education,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1934,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,False,True,False
RIDEAU PARK,8,City Wide Historic Resource,1955,1946 to 1956 (Oil Boom),International,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
WEST HILLHURST,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
HILLHURST,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1941,1940 to 1945 (WWII),Art Moderne/Streamlined Moderne,Residence,False,False,True,False
ALTADORE,8,City Wide Historic Resource,1959,1946 to 1956 (Oil Boom),Unknown,Transport,False,False,True,False
ELBOW PARK,8,City Wide Historic Resource,1947,1946 to 1956 (Oil Boom),Unknown,Transport,False,False,True,False
ELBOYA,11,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,True,False,False
ELBOW PARK,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,True,False,False
GLENMORE PARK,11,City Wide Historic Resource,1895,1885 to 1905 (Railway/Early Settlement),Unknown,Food Supply,False,True,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1920,1919 to 1929 (Post WWI to Stock Market Crash),Arts & Crafts,Education,False,False,False,False
BELTLINE,8,Community Historic Resource,1954,1946 to 1956 (Oil Boom),Other,Residence,False,True,False,False
ELBOW PARK,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
SUNALTA,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,True,False,False
RAMSAY,9,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,True,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1931,1930 to 1939 (Depression),Unknown,Leisure,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
MISSION,8,City Wide Historic Resource,1885,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1953,1946 to 1956 (Oil Boom),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1899,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Health and Research,False,False,False,False
UPPER MOUNT ROYAL,8,A,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,True,False
INGLEWOOD,9,Community Historic Resource,1901,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,False,False,False
RENFREW,9,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,True,False,False,False
MISSION,8,City Wide Historic Resource,1894,1885 to 1905 (Railway/Early Settlement),Second Empire,"Religion, Ritual and Funeral",False,False,False,False
Sunalta,8,City Wide Historic Resource,1947,1930 to 1939 (Depression),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,City Wide Historic Resource,1904,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,False,True,False
DOWNTOWN EAST VILLAGE,7,City Wide Historic Resource,1901,1885 to 1905 (Railway/Early Settlement),Other,Residence,False,False,True,False
HILLHURST,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Residence,False,False,True,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Tudor Revival,Residence,False,False,False,False
SCARBORO,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,"Religion, Ritual and Funeral",False,True,False,False
SCARBORO,8,Community Historic Resource,1945,1940 to 1945 (WWII),Tudor Revival,"Religion, Ritual and Funeral",False,True,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1939,1930 to 1939 (Depression),Tudor Revival,Residence,False,False,False,False
MOUNT PLEASANT,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
SCARBORO,8,City Wide Historic Resource,1934,1930 to 1939 (Depression),Unknown,Leisure,False,True,False,False
RAMSAY,9,City Wide Historic Resource,1879,1875 to 1884 (Frontier),Unknown,Leisure,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
RAMSAY,9,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
