,Name,Community,Year of Construction,probability
377,Garry Theatre,INGLEWOOD,1936,0.35432044
294,Doberer Residence,BANKVIEW,1913,0.35358065
235,Colborne Residence,BANKVIEW,1913,0.35358065
141,Burnsland Cemetery,MANCHESTER INDUSTRIAL,1923,0.35304424
447,Hillcrest Texaco Service Station,RENFREW,1959,0.3524006
440,Hextall Residence,BOWNESS,1912,0.35008785
75,Balmoral Bungalow School,TUXEDO PARK,1919,0.34997877
686,Parkhill Public School,PARKHILL,1912,0.34921724
531,King George Masonic Hall,HILLHURST,1926,0.34914133
672,Olympic Oval,UNIVERSITY OF CALGARY,1985,0.3486658
226,Christ Church,ELBOW PARK,1933,0.3484307
578,Mahood Farm House,SPRINGBANK HILL,1929,0.34730238
290,Diamond Residence,DOWNTOWN COMMERCIAL CORE,1912,0.3458205
211,Centennial Planetarium,DOWNTOWN WEST END,1967,0.3453184
876,Strand Apartments,MISSION,1920,0.34453163
44,Alberta Block,DOWNTOWN COMMERCIAL CORE,1903,0.34420946
27,841 18 Avenue SW,LOWER MOUNT ROYAL,1910,0.34271988
84,Bank of Toronto Building,DOWNTOWN COMMERCIAL CORE,1953,0.3422377
63,Arthur Anderson Residence,INGLEWOOD,1912,0.34222406
809,Simmons (McCullough) House,UPPER MOUNT ROYAL,1910,0.34201336
398,Graham Residence,SCARBORO,1913,0.34013757
640,Neilson Block,DOWNTOWN COMMERCIAL CORE,1903,0.339481
356,Flexford House,MISSION,1914,0.33933115
764,Royal Bank of Canada Building,DOWNTOWN COMMERCIAL CORE,1953,0.33835757
257,CPR Ogden Shops - Freight Car Repair Shop,OGDEN SHOPS,1913,0.33799905
260,CPR Ogden Shops - Tender & Wheel Shop,OGDEN SHOPS,1913,0.33799905
195,Canadian Pacific Railway Ogden Shops,OGDEN SHOPS,1913,0.33799905
259,CPR Ogden Shops - Storehouse and Office Building,OGDEN SHOPS,1913,0.33799905
258,CPR Ogden Shops - Locomotive Shop,OGDEN SHOPS,1913,0.33799905
365,Fraser & Seabloom Block,INGLEWOOD,1912,0.33776227
631,Morris Residence,INGLEWOOD,1907,0.3374079
969,Woollard Residence,MISSION,1911,0.3372219
727,Ranlett Residence,MISSION,1911,0.3372219
691,Pattison Residence,MISSION,1911,0.3372219
338,Ferguson Residence,MISSION,1911,0.3372219
236,Colgrove Apartments,BELTLINE,1912,0.33611944
567,MacDonald (Mount Royal) Apartments,BELTLINE,1915,0.33446354
39,AGT Elbow Park South Exchange,ELBOW PARK,1967,0.33398938
154,Calgary Brewing & Malting Co. – Engine Room & Water Well,INGLEWOOD,1913,0.33261326
190,Canadian Northern Railway Bridge (Ogden Road),OGDEN,1913,0.33257145
188,Canadian Northern Railway Bridge (Bow River),OGDEN,1913,0.33257145
427,Haultain School,BELTLINE,1894,0.3303206
552,Leggett Residence,CRESCENT HEIGHTS,1939,0.33012718
897,Tigerstedt Block,CRESCENT HEIGHTS,1928,0.32896242
98,Bennett Building B6: Currie Barracks,CURRIE BARRACKS,1936,0.32856002
99,Bessborough Building B7: Currie Barracks,CURRIE BARRACKS,1936,0.32856002
700,Phipps Residence,WEST HILLHURST,1910,0.32847798
689,Paterson Residence,MOUNT PLEASANT,1913,0.32843012
265,Crescent Heights Methodist Church,TUXEDO PARK,1933,0.32706776
71,Aulock Villa,SPRINGBANK HILL,1910,0.32590303
770,Sacred Heart Roman Catholic Church,Sunalta,1947,0.3248497
887,T.C. Power & Bro.,DOWNTOWN COMMERCIAL CORE,1885,0.32480988
846,St. John's Church,HILLHURST,1953,0.32440877
181,Campion Residence,Renfrew,1912,0.3237622
660,Norwood Apartments,BELTLINE,1912,0.32256693
635,Musgrove Residence,CRESCENT HEIGHTS,1910,0.31843248
247,Connacher Residence,UPPER MOUNT ROYAL,1911,0.31841868
607,McPhail Residence,UPPER MOUNT ROYAL,1911,0.31841868
695,People's Meat Market,INGLEWOOD,1909,0.318109
101,Big Four Building,BELTLINE,1959,0.3176946
940,Weissgerber Residence,SUNALTA,1904,0.31231937
320,Eau Claire & Bow River Lumber Co.,EAU CLAIRE,1903,0.31156006
787,Seablom Block,INGLEWOOD,1910,0.31107628
463,Hornibrook Residence,UPPER MOUNT ROYAL,1913,0.31057572
509,Jewish Cemetery,ERLTON,1904,0.30526865
197,Canton Block,CHINATOWN,1910,0.30472323
980,Zaluski Residence,Ramsay,1911,0.30450618
502,James and Louie Taylor Residence,SOUTH CALGARY,1912,0.3033955
726,Ranchmen's Club,BELTLINE,1914,0.3026181
915,Ukrainian Cultural Centre,KILLARNEY/GLENGARRY,1953,0.3017229
108,Black Block,INGLEWOOD,1904,0.30010724
131,British America Paint Co.,DOWNTOWN COMMERCIAL CORE,1910,0.29992202
929,W.H. Birkenshaw Residence,BELTLINE,1908,0.2984922
952,Weston Bakery (Golden West Bakery),BELTLINE,1929,0.29829994
362,Francis Residence,HILLHURST,1911,0.2968903
397,Grace Presbyterian Church,BELTLINE,1911,0.29659975
351,First Baptist Church,BELTLINE,1911,0.29659975
9,12 Avenue Elbow River Bridge,BELTLINE,1911,0.29487485
336,Evangelical Lutheran Immanuel Church,CRESCENT HEIGHTS,1902,0.29256737
61,Anthony Brown Residence,SOUTH CALGARY,1913,0.2923775
231,Clarence Block,DOWNTOWN COMMERCIAL CORE,1901,0.2902217
497,Jacques Jewellery Store,DOWNTOWN COMMERCIAL CORE,1893,0.29016945
898,Tivoli Theatre,CLIFF BUNGALOW,1937,0.28988388
358,Ford Motor Company of Canada Warehouse,BELTLINE,1922,0.28918982
853,St. Mary's Parish (1955),MISSION,1955,0.28774115
156,Calgary Builders' Exchange Building,WEST HILLHURST,1965,0.28705674
109,Blackfoot Texaco Service Station,INGLEWOOD,1966,0.286963
873,Stepney Residence,MISSION,1907,0.2862301
280,Darrach Residence,SUNALTA,1909,0.28529313
348,Fire Hall No. 6 (1964),WEST HILLHURST,1964,0.28372714
824,Southern Alberta Jubilee Auditorium,HILLHURST,1957,0.28295973
166,Calgary Masonic Temple,BELTLINE,1928,0.28263134
592,McClary Residence,GLENBROOK,1929,0.282206
113,Blyth Block,INGLEWOOD,1923,0.28196245
879,Strong Coach House,UPPER MOUNT ROYAL,1911,0.28062177
