,Name,Community,Year of Construction,probability
134,Brotherhood of Mankind Statues,DOWNTOWN COMMERCIAL CORE,1967,0.005402458
157,Calgary Chinese Cultural Center,CHINATOWN,1992,0.0053844783
411,Greig House,UPPER MOUNT ROYAL,1911,0.0053351424
439,Hextall (Shouldice) Bridge,MONTGOMERY,1910,0.0053155622
777,Sayre Estate,UPPER MOUNT ROYAL,1905,0.005280059
768,Rutledge Hangar (Municipal Airport No. 1),RENFREW,1929,0.005228028
672,Olympic Oval,UNIVERSITY OF CALGARY,1985,0.005226062
649,New Place Cottage - No. 8,INGLEWOOD,1911,0.0052142604
687,Pascoe Residence,UPPER MOUNT ROYAL,1911,0.0051943185
693,"Pellatt Block B8, Currie Barracks",CURRIE BARRACKS,1952,0.0051771356
744,Ritchie Apartments,CLIFF BUNGALOW,1941,0.005159207
698,Phillips Building,DOWNTOWN COMMERCIAL CORE,1968,0.005121114
830,Spillers Canadian Milling Company,ALYTH/BONNYBROOK,1927,0.0050756335
490,J.H. Jamieson Residence,SUNNYSIDE,1912,0.005050307
904,Triad Building,DOWNTOWN COMMERCIAL CORE,1956,0.0050489916
817,Smalley's Radio Ltd.,DOWNTOWN WEST END,1953,0.0050212597
785,Scott Residence,RAMSAY,1909,0.004886609
94,Beers Residence,RAMSAY,1907,0.0048774797
922,Utilities Building,DOWNTOWN COMMERCIAL CORE,1939,0.004869711
633,Mount Royal Block,LOWER MOUNT ROYAL,1911,0.0048427847
405,Graves Residence,BELTLINE,1907,0.0048242244
39,AGT Elbow Park South Exchange,ELBOW PARK,1967,0.004790966
11,1409 15 Street SW,SUNALTA,1911,0.004789775
376,Garden Residence,ELBOW PARK,1913,0.004749683
348,Fire Hall No. 6 (1964),WEST HILLHURST,1964,0.004748804
579,Malcolm Clair Residence,HILLHURST,1912,0.0047456077
614,Mewata Armoury,DOWNTOWN WEST END,1917,0.0046930816
806,Sien Lok Park,CHINATOWN,1982,0.004673952
885,Sunnyside Bungalow School,SUNNYSIDE,1919,0.0046687066
211,Centennial Planetarium,DOWNTOWN WEST END,1967,0.0046525346
964,Wilson's Arch Building,MERIDIAN,1965,0.0046101976
673,Olympic Plaza,DOWNTOWN COMMERCIAL CORE,1987,0.0045624305
239,Colonel Belcher Hospital,BELTLINE,1942,0.004547141
471,Hunter Block (Riley Park Grocery),HILLHURST,1912,0.0045335162
740,Rideau Towers,RIDEAU PARK,1955,0.004524678
224,Chinese National League Hall,CHINATOWN,1954,0.0045160563
179,Calgary Zoo Conservatory - Tropical Aviary,BRIDGELAND/RIVERSIDE,1962,0.0045060865
654,Norman Block,DOWNTOWN COMMERCIAL CORE,1904,0.0044856584
162,Calgary Hardware,DOWNTOWN COMMERCIAL CORE,1891,0.0044812188
279,Darling Residence,CLIFF BUNGALOW,1909,0.004456564
506,Jehovah Lutheran Church,BRIDGELAND/RIVERSIDE,1920,0.0044530826
269,Cunningham Residence,SUNALTA,1910,0.004450857
446,Hill Residence,PARKDALE,1912,0.0044343923
251,Coste Estate - Coach House,UPPER MOUNT ROYAL,1912,0.0044311206
464,Hotel Cecil (Cecil Hotel),DOWNTOWN EAST VILLAGE,1911,0.0044289627
812,Simpsons Sears,HOUNSFIELD HEIGHTS/BRIAR HILL,1958,0.004417445
837,"St. Augustine’s Anglican Church, Manse, and Parish Hall",OGDEN,1912,0.004409988
598,McDougall School,DOWNTOWN COMMERCIAL CORE,1908,0.004404822
520,Jolly Residence,RAMSAY,1910,0.004384838
205,Carson Block,INGLEWOOD,1912,0.004350698
271,Curtis Residence,SUNALTA,1912,0.0043368647
378,Geddes House,UPPER MOUNT ROYAL,1911,0.004301095
483,Irwin Block,SUNNYSIDE,1912,0.004301083
683,Paperny Residence,UPPER MOUNT ROYAL,1932,0.0042753676
165,Calgary Lawn Bowling Club,BELTLINE,1929,0.0042741154
884,Sunalta School,SCARBORO,1912,0.004268808
313,Earl Grey Elementary School,UPPER MOUNT ROYAL,1968,0.004248787
657,Northern Electric Co. Warehouse,BELTLINE,1913,0.0042486256
959,William J. Shields Residence,INGLEWOOD,1903,0.0041987374
453,Hillocks Residence,Crescent Heights,1912,0.0041975216
116,Bow Valley Lawn Bowling Club,HILLHURST,1932,0.0041886754
534,Knechtel Residence,ROSEDALE,1913,0.004182246
450,Hillhurst Presbyterian Church,HILLHURST,1912,0.0041786805
189,Canadian Northern Railway Bridge (Mission),MISSION,1913,0.0041545923
900,Trainor Residence,MISSION,1912,0.004050289
717,Queen Elizabeth Junior and Senior  High School,HILLHURST,1930,0.004042965
383,George Clift King Residence,PARKDALE,1911,0.0040330277
66,Assumption of the Blessed Virgin Mary Ukrainian Catholic Church,RENFREW,1954-1959,0.0040005078
248,Connaught School,BELTLINE,1910,0.003978472
566,Lyons Residence,RAMSAY,1911,0.003943305
843,St. James Catholic Church,NORTH GLENMORE PARK,1966,0.003935779
700,Phipps Residence,WEST HILLHURST,1910,0.003929942
787,Seablom Block,INGLEWOOD,1910,0.003928223
403,Grant Residence,PARKDALE,1912,0.0039012807
306,Duckworth Residence,CRESCENT HEIGHTS,1912,0.003897478
663,"Nurses Home, General Hospital",BRIDGELAND/RIVERSIDE,1911,0.0038667638
99,Bessborough Building B7: Currie Barracks,CURRIE BARRACKS,1936,0.003847923
160,Calgary Electric Substation #1,DOWNTOWN COMMERCIAL CORE,"1912, 1959",0.003809158
829,Spencer Residence,UPPER MOUNT ROYAL,1913,0.003808624
517,John Steinbrecher Residence,CRESCENT HEIGHTS,1907,0.0038037065
509,Jewish Cemetery,ERLTON,1904,0.003800331
63,Arthur Anderson Residence,INGLEWOOD,1912-1913,0.0037845224
642,Nelco Square,FRANKLIN,1979,0.0037755014
37,AGT Building - Hillhurst Exchange,HILLHURST,1922,0.003748461
846,St. John's Church,HILLHURST,1953,0.0037321423
61,Anthony Brown Residence,SOUTH CALGARY,1913,0.0037230386
482,Irvine House,UPPER MOUNT ROYAL,1906,0.0037075242
976,York Hotel,DOWNTOWN COMMERCIAL CORE,1930,0.0037017427
844,St. John Elementary School,HILLHURST,1916,0.003700053
832,Spurway Residence,INGLEWOOD,ca. 1900-01,0.0036854728
501,James and Emma Moore Residence,SOUTH CALGARY,1912,0.0036749907
236,Colgrove Apartments,BELTLINE,1912,0.003651812
132,British American Oil Company Refinery,INGLEWOOD,1939,0.003645303
83,Bank of Nova Scotia (1930),DOWNTOWN COMMERCIAL CORE,1930,0.0036234444
550,Leavitt Residence,UPPER MOUNT ROYAL,1970,0.003619599
542,Lang Residence,MISSION,1910,0.0036111444
13,1711 11 Avenue SW,SUNALTA,1912,0.0036062938
764,Royal Bank of Canada Building,DOWNTOWN COMMERCIAL CORE,1953,0.0035849528
943,Wesley United Church,BELTLINE,1911,0.0035573347
443,Hicks Block,TUXEDO PARK,1912,0.0035266008
324,Edmonds Block,BELTLINE,1913,0.0035178543
161,Calgary Gas Co. Workshop,BELTLINE,1907,0.003512416
882,Suitor Residence,INGLEWOOD,1908,0.0035048788
552,Leggett Residence,CRESCENT HEIGHTS,1939,0.0034938548
250,Coram residence,RIDEAU PARK,1914,0.003474626
681,Palliser Hotel,DOWNTOWN COMMERCIAL CORE,1914,0.0034742283
173,Calgary Sports Car Club Clubhouse,SADDLE RIDGE INDUSTRIAL,1961,0.0034627651
101,Big Four Building,BELTLINE,1959,0.0034502035
310,Duplex/Boarding House,BELTLINE,1910,0.003423911
940,Weissgerber Residence,SUNALTA,1904,0.0033666748
363,Frank Block,RAMSAY,1912,0.003341876
569,MacKay Residence,SUNALTA,1910,0.003332186
243,Commercial Body Works Building,INGLEWOOD,1946,0.0033146162
731,Reconciliation Bridge,BRIDGELAND/RIVERSIDE,1910,0.0033040205
772,Sanders Residence,DOWNTOWN EAST VILLAGE,1901,0.003298289
505,Jefferies Residence,RAMSAY,1912,0.003295323
479,Inglis-McNeill (Mission Cycle) Building,MISSION,1910,0.0032891002
